event_id,event_ts,cam_id,event_type,track_id,person_id,person_name,bbox,posture,people_count,confidence,snapshot_path,extra
1,2026-03-22 04:42:13.991499-07,CAM_01,BOTTLE,,,,null,,1,,,"{""count"": 1}"
2,2026-03-22 04:43:06.438025-07,CAM_01,BOTTLE,,,,null,,0,,,"{""count"": 1}"
3,2026-03-22 04:43:14.50282-07,CAM_01,BOTTLE,,,,null,,1,,,"{""count"": 1}"
4,2026-03-22 04:43:30.767102-07,CAM_01,BOTTLE,,,,null,,0,,,"{""count"": 1}"
5,2026-03-22 04:43:38.800829-07,CAM_01,BOTTLE,,,,null,,0,,,"{""count"": 1}"
6,2026-03-22 04:47:24.590726-07,CAM_01,BOTTLE,,,,null,,1,,,"{""count"": 1}"
7,2026-03-22 04:47:32.690506-07,CAM_01,BOTTLE,,,,null,,1,,,"{""count"": 1}"
8,2026-03-22 09:51:42.518017-07,CAM_01,FALL,1,,,"[408, 141, 1145, 713]",lying,1,,,{}
9,2026-03-22 09:51:42.539359-07,CAM_01,LYING,1,,,"[408, 141, 1145, 713]",lying,1,,,{}
10,2026-03-22 09:52:14.192632-07,CAM_01,FALL,1,,,"[505, 164, 1179, 699]",lying,1,,,{}
11,2026-03-22 09:52:14.209384-07,CAM_01,LYING,1,,,"[505, 164, 1179, 699]",lying,1,,,{}
12,2026-03-22 09:52:25.379477-07,CAM_01,FALL,1,,,"[455, 165, 1193, 713]",lying,2,,,{}
13,2026-03-22 09:52:25.394135-07,CAM_01,LYING,1,,,"[455, 165, 1193, 713]",lying,2,,,{}
14,2026-03-22 09:52:52.13646-07,CAM_01,FALL,1,,,"[387, 154, 1146, 713]",lying,1,,,{}
15,2026-03-22 09:52:52.148924-07,CAM_01,LYING,1,,,"[387, 154, 1146, 713]",lying,1,,,{}
16,2026-03-22 09:53:03.147287-07,CAM_01,LYING,1,,,"[598, 163, 1278, 709]",lying,1,,,{}
