sample_id,sample_ts,cam_id,people_count,unknown_count,lying_count,fall_count,extra
1,2026-03-22 03:12:21.336274-07,CAM_01,0,0,0,0,"{""fps"": 0.0}"
2,2026-03-22 03:12:31.581002-07,CAM_01,0,0,0,0,"{""fps"": 0.4849050540554801}"
3,2026-03-22 03:12:41.499919-07,CAM_01,0,0,0,0,"{""fps"": 5.944839179235108}"
4,2026-03-22 03:12:51.593427-07,CAM_01,0,0,0,0,"{""fps"": 6.5183138065987425}"
5,2026-03-22 03:13:01.665345-07,CAM_01,0,0,0,0,"{""fps"": 6.465004900478774}"
6,2026-03-22 03:13:11.806758-07,CAM_01,0,0,0,0,"{""fps"": 6.681197449231882}"
7,2026-03-22 03:37:05.740443-07,CAM_01,0,0,0,0,"{""fps"": 0.0}"
8,2026-03-22 03:45:46.249476-07,CAM_01,0,0,0,0,"{""fps"": 0.0}"
9,2026-03-22 03:53:46.772312-07,CAM_01,0,0,0,0,"{""fps"": 0.0}"
10,2026-03-22 03:54:16.573068-07,CAM_01,0,0,0,0,"{""fps"": 0.0}"
11,2026-03-22 03:54:28.389321-07,CAM_01,0,0,0,0,"{""fps"": 3.652150478765795}"
12,2026-03-22 03:54:49.7345-07,CAM_01,0,0,0,0,"{""fps"": 0.08710812957344242}"
13,2026-03-22 03:54:59.80924-07,CAM_01,0,0,0,0,"{""fps"": 6.553676069454378}"
14,2026-03-22 03:55:16.871795-07,CAM_01,0,0,0,0,"{""fps"": 4.497130901198741}"
15,2026-03-22 03:55:21.232549-07,CAM_01,0,0,0,0,"{""fps"": 1.3465310997968392}"
16,2026-03-22 03:55:32.86987-07,CAM_01,0,0,0,0,"{""fps"": 3.1319515239808595}"
17,2026-03-22 03:55:42.389732-07,CAM_01,0,0,0,0,"{""fps"": 3.7060168265179243}"
18,2026-03-22 03:55:53.388217-07,CAM_01,0,0,0,0,"{""fps"": 1.7065897604101703}"
19,2026-03-22 03:56:04.143869-07,CAM_01,0,0,0,0,"{""fps"": 4.871593906233376}"
20,2026-03-22 03:56:16.659199-07,CAM_01,0,0,0,0,"{""fps"": 1.3028882167831461}"
21,2026-03-22 03:56:24.776945-07,CAM_01,0,0,0,0,"{""fps"": 1.3049149634493178}"
22,2026-03-22 03:56:38.20464-07,CAM_01,0,0,0,0,"{""fps"": 0.33256754778785663}"
23,2026-03-22 03:57:29.316331-07,CAM_01,0,0,0,0,"{""fps"": 0.4184147818001365}"
24,2026-03-22 03:57:42.973728-07,CAM_01,0,0,0,0,"{""fps"": 0.4184147818001365}"
25,2026-03-22 04:02:09.110183-07,CAM_01,0,0,0,0,"{""fps"": 0.6601893885317014}"
26,2026-03-22 04:02:20.35331-07,CAM_01,1,0,0,0,"{""fps"": 0.6601893885317014}"
27,2026-03-22 04:02:37.22819-07,CAM_01,1,0,0,0,"{""fps"": 0.3546538196699126}"
28,2026-03-22 04:02:47.138644-07,CAM_01,1,0,0,0,"{""fps"": 31.008151155628806}"
29,2026-03-22 04:02:57.196547-07,CAM_01,1,0,0,0,"{""fps"": 29.188020835145565}"
30,2026-03-22 04:03:07.143713-07,CAM_01,1,0,0,0,"{""fps"": 29.40232916304772}"
31,2026-03-22 04:03:17.178532-07,CAM_01,1,0,0,0,"{""fps"": 30.39074380567078}"
32,2026-03-22 04:03:27.590995-07,CAM_01,1,0,0,0,"{""fps"": 1.7510748248425858}"
33,2026-03-22 04:03:38.000645-07,CAM_01,1,0,0,0,"{""fps"": 21.65717635936647}"
34,2026-03-22 04:03:47.369645-07,CAM_01,1,0,0,0,"{""fps"": 30.594114852734553}"
35,2026-03-22 04:03:57.877163-07,CAM_01,1,0,0,0,"{""fps"": 30.550659610892307}"
36,2026-03-22 04:04:07.555134-07,CAM_01,1,0,0,0,"{""fps"": 30.981629535518923}"
37,2026-03-22 04:39:28.739952-07,CAM_01,0,0,0,0,"{""fps"": 0.0}"
38,2026-03-22 04:39:42.297885-07,CAM_01,1,0,0,0,"{""fps"": 3.9971153097051437}"
39,2026-03-22 04:39:52.211982-07,CAM_01,1,0,0,0,"{""fps"": 29.800393046794735}"
40,2026-03-22 04:40:02.23912-07,CAM_01,1,0,0,0,"{""fps"": 30.266942185889814}"
41,2026-03-22 04:40:12.267729-07,CAM_01,1,0,0,0,"{""fps"": 29.84398858696039}"
42,2026-03-22 04:40:22.334084-07,CAM_01,1,0,0,0,"{""fps"": 29.92542408769792}"
43,2026-03-22 04:40:32.350752-07,CAM_01,1,0,0,0,"{""fps"": 29.55282001301908}"
44,2026-03-22 04:40:42.362871-07,CAM_01,1,0,0,0,"{""fps"": 29.96467939021463}"
45,2026-03-22 04:40:52.382686-07,CAM_01,1,0,0,0,"{""fps"": 29.52090771971388}"
46,2026-03-22 04:41:02.388838-07,CAM_01,1,0,0,0,"{""fps"": 29.836480337733395}"
47,2026-03-22 04:41:12.411298-07,CAM_01,1,0,0,0,"{""fps"": 30.242907745743903}"
48,2026-03-22 04:41:22.420916-07,CAM_01,1,0,0,0,"{""fps"": 28.927906178644808}"
49,2026-03-22 04:41:32.427171-07,CAM_01,1,0,0,0,"{""fps"": 30.304294463657012}"
50,2026-03-22 04:41:42.457484-07,CAM_01,1,0,0,0,"{""fps"": 29.437470681033187}"
51,2026-03-22 04:41:52.460128-07,CAM_01,1,0,0,0,"{""fps"": 29.81707971616349}"
52,2026-03-22 04:42:02.51159-07,CAM_01,1,0,0,0,"{""fps"": 29.03142166364153}"
53,2026-03-22 04:42:12.514491-07,CAM_01,1,0,0,0,"{""fps"": 29.916434063556522}"
54,2026-03-22 04:42:22.520659-07,CAM_01,1,0,0,0,"{""fps"": 29.422156549719578}"
55,2026-03-22 04:42:32.573042-07,CAM_01,2,0,0,0,"{""fps"": 24.834260790811445}"
56,2026-03-22 04:42:42.610653-07,CAM_01,1,0,0,0,"{""fps"": 28.758940205383144}"
57,2026-03-22 04:42:52.639759-07,CAM_01,1,0,0,0,"{""fps"": 29.85487199186275}"
58,2026-03-22 04:43:02.659587-07,CAM_01,1,0,0,0,"{""fps"": 30.180599274078446}"
59,2026-03-22 04:43:12.672023-07,CAM_01,1,0,0,0,"{""fps"": 29.994979744963416}"
60,2026-03-22 04:43:22.73421-07,CAM_01,1,0,0,0,"{""fps"": 30.23222630464595}"
61,2026-03-22 04:43:32.73771-07,CAM_01,1,0,0,0,"{""fps"": 30.39853814048702}"
62,2026-03-22 04:43:42.765397-07,CAM_01,1,0,0,0,"{""fps"": 29.96863310353172}"
63,2026-03-22 04:43:52.770144-07,CAM_01,1,0,0,0,"{""fps"": 29.943211185505305}"
64,2026-03-22 04:44:02.794464-07,CAM_01,1,0,0,0,"{""fps"": 28.988533978969787}"
65,2026-03-22 04:44:12.826722-07,CAM_01,1,0,0,0,"{""fps"": 30.411122665255846}"
66,2026-03-22 04:44:22.826732-07,CAM_01,1,0,0,0,"{""fps"": 24.96523334313458}"
67,2026-03-22 04:44:32.864074-07,CAM_01,1,0,0,0,"{""fps"": 30.49741803770866}"
68,2026-03-22 04:44:42.915214-07,CAM_01,2,0,0,0,"{""fps"": 27.910816962972223}"
69,2026-03-22 04:44:52.917929-07,CAM_01,1,0,0,0,"{""fps"": 29.987452511988035}"
70,2026-03-22 04:45:02.92254-07,CAM_01,2,0,0,0,"{""fps"": 21.72058395672581}"
71,2026-03-22 04:45:12.947946-07,CAM_01,1,0,0,0,"{""fps"": 28.769306638202035}"
72,2026-03-22 04:45:22.954905-07,CAM_01,1,0,0,0,"{""fps"": 29.79060723971509}"
73,2026-03-22 04:45:32.975316-07,CAM_01,1,0,0,0,"{""fps"": 30.229759184296935}"
